Recipe Title;Energy;Carbs;Protein;Fat;Time;Filters;Preparation;Photo
Geroosterde courgettecarpaccio;250 kcal ;5 gram;7 gram;22 gram;10 min;['zonder vlees/vis', 'oven', 'voorgerecht'];['Verwarm de oven voor op 180 °C.', 'Meng de kruiden met ⅔ van de olie. Snijd de courgettes in dunne plakjes. Schep de courgette om met de kruidenolie. Verdeel de plakjes over een met bakpapier beklede bakplaat en bak in ca. 20 min. in het midden van de voorverwarmde oven gaar.', 'Rooster ondertussen de pijnboompitten in een pan zonder boter of olie in 3 min. op middelhoog vuur goudbruin. Schud regelmatig.  Meng de rucola met de rest van de olie.', 'Verdeel de courgetteplakken over de borden. Verdeel de pijnboompitten erover Verdeel de rucola over het midden van de borden en schaaf de Parmezaanse kaas erover.'];https://static.ah.nl/static/recepten/img_111948_1224x900_JPG.jpg
Brownies met chococurls & yoghurttopping;210 kcal ;22 gram;3 gram;12 gram;20 min;['oven', 'gebak', 'verjaardag'];['Verwarm de oven voor op 180 °C. Bekleed de bakvorm met bakpapier. Doe de boter, suiker, basterdsuiker en cacaopoeder in een steelpan en laat de boter op laag vuur smelten. Blijf goed roeren.', 'Haal van het vuur en doe in een kom. Roer de eieren, vanillearoma en bloem erdoor. Voeg 150 g chococurls toe en schep om.', 'Schep het beslag in de vorm en strijk glad. Zet de bakvorm in het midden van de oven en bak de brownie in ca. 35 min. gaar. Neem uit de oven en laat de brownie 30 min. afkoelen.', 'Snijd de zijkanten los, leg een rooster op de vorm, keer om en stort de brownie op het rooster. Verwijder het bakpapier en laat de brownie verder afkoelen. Meng ondertussen de yoghurt met de roomkaas. Bestrijk de bovenkant van de brownie ermee. Snijd in 16 stukken en serveer.'];https://static.ah.nl/static/recepten/img_111946_1224x900_JPG.jpg
Witvis met kappertjesmayonaise, rozemarijnaardappelen & winterpeen;775 kcal ;58 gram;32 gram;43 gram;20 min;['lactosevrij', 'glutenvrij', 'oven', 'hoofdgerecht', 'wat eten we vandaag'];['Verwarm de oven voor op 200 °C. Boen de aardappelen schoon en snijd in de lengte ongeschild in parten. Schil de peen, halveer in de lengte en snijd in schuine stukken van 3 cm. Meng met de aardappelen, rozemarijn en de helft van de olie. Verdeel over een met bakpapier beklede bakplaat. Bestrooi eventueel met zout en rooster ca. 25 min. in het midden van de oven.', 'Snijd ondertussen de dille fijn. Laat de kappertjes uitlekken, snijd fijn en meng met de mayonaise, het water, de helft van de dille en wat zwarte peper.', 'Bestrooi de vis met peper en eventueel zout. Verhit de rest van de olie in een koekenpan en bak de vis in 5 min. gaar. Keer halverwege. Serveer de aardappelen en wortelen met de vis en kappertjesmayonaise. Bestrooi de vis met de rest van de dille.'];https://static.ah.nl/static/recepten/img_111954_1224x900_JPG.jpg
Romige pasta met taleggio, sperziebonen & citroen;760 kcal ;72 gram;28 gram;38 gram;25 min;['zonder vlees/vis', 'italiaans', 'pasta', 'hoofdgerecht', 'wat eten we vandaag', 'pasen'];['Verwijder de steelaanzet van de sperziebonen, laat het puntje zitten. Halveer de bonen. Verhit een koekenpan zonder olie of boter en rooster het amandelschaafsel in 5 min. goudbruin. Neem uit de pan en laat afkoelen op een bord. Kook de tofette in een ruime pan in 11 min. beetgaar. Voeg na 4 min. de sperziebonen toe.', 'Snijd ondertussen de sjalotten in halve ringen en de knoflook fijn. Snijd de salie in dunne reepjes. Verhit de boter in de hapjespan en fruit de sjalot, knoflook en salie 5 min. op laag vuur. Boen de citroen schoon, rasp de gele schil en snijd de vrucht in plakjes. Snijd de oranje korst van de taleggio en snijd de kaas in blokjes. Voeg de kookzuivel toe aan de sjalot, knoflook en salie en verwarm 3 min. op laag vuur. Neem van het vuur, roer de kaas erdoor en laat smelten.', 'Giet de pasta en bonen af, maar vang een kopje kookvocht op. Meng de pasta en bonen met het citroenrasp en de roomsaus. Voeg eventueel wat kookvocht toe om het wat smeuïger te maken. Verdeel over diepe borden, bestrooi met het amandelschaafsel en leg er een plakje citroen bij. Serveer direct.'];https://static.ah.nl/static/recepten/img_111531_1224x900_JPG.jpg
Wienerschnitzelsalade met cranberrysaus;505 kcal ;58 gram;22 gram;19 gram;20 min;['lactosevrij', 'salade', 'hoofdgerecht', 'wat eten we vandaag', 'bakken'];['Verhit de helft van de olie in een hapjespan en bak de aardappelschijfjes op middelhoog vuur in 15 min. goudbruin en gaar. Breng op smaak met peper en eventueel zout. Verhit ondertussen de rest van de olie in een koekenpan en bak de schnitzels in 8 min. gaar. Kook de sperziebonen in water met eventueel zout in 6 min. beetgaar. Giet af en spoel af onder koud stromend water.', 'Snijd ondertussen de onderkanten van de stronken witlof, snijd de stronkjes in de lengte doormidden, verwijder de harde kern en snijd het witlof in reepjes.', 'Meng de cranberrysaus en het water tot een dressing. Schep de aardappelschijfjes, sperziebonen, het witlof en de veldsla in een grote schaal om met de dressing. Snijd de schnitzels in dunne reepjes. Verdeel over de salade.'];https://static.ah.nl/static/recepten/img_111953_1224x900_JPG.jpg
Fruit- en groenteletters;5 kcal ;unknown;unknown;unknown;15 min;['veganistisch', 'lactosevrij', 'glutenvrij', 'gezond', 'kindergerecht', 'tussendoortje', 'traktatie', 'verjaardag', 'suikerbewust'];['Schil de wortel met een dunschiller. Snijd de komkommer en wortel in de lengte in plakken van 3-4 mm. ', 'Snijd de watermeloen in plakken van een ½ cm dik. Snijd de avocado overlangs doormidden en verwijder de pit. Schep met een lepel het vruchtvlees uit de schil en snijd in plakjes.\n', 'Steek met de letterstekers verschillende letters uit de groenten en fruit.'];https://static.ah.nl/static/recepten/img_112505_1224x900_JPG.jpg
Worst- en kaasletters;20 kcal ;unknown;unknown;unknown;10 min;['glutenvrij', 'verjaardag', 'traktatie'];[' Snijd de leverworst in plakjes van ca. 5 mm dik. Steek met de letterstekers letters uit de plakken kaas en worst. '];https://static.ah.nl/static/recepten/img_112515_1224x900_JPG.jpg
Sinaasappel-kardemom kipstoof;745 kcal ;75 gram;44 gram;27 gram;15 min;['midden oosters', 'rijst', 'hoofdgerecht', 'wat eten we vandaag', 'winter', 'herfst', 'stoven'];['Verhit de olie in een hapjespan en bak de kipdrumsticks in 5 min. rondom bruin. Halveer ondertussen de aubergines in de lengte en snijd in halve plakken. Kneus de kardemom. Snijd de abrikozen in kwarten.', 'Voeg de aubergine, kardemom, abrikozen en tomatenblokjes toe. Boen de sinaasappel schoon. Rasp de oranje schil boven de hapjespan en pers de vrucht erbovenuit. Voeg de bouillontablet toe. Laat met de deksel op de pan in 30 min. op laag vuur gaar stoven. Roer af en toe door.', 'Kook ondertussen de notenrijst gaar volgens de aanwijzingen op de verpakking. Serveer de kipstoof met de rijst.'];https://static.ah.nl/static/recepten/img_113750_1224x900_JPG.jpg
Noedels met portobello & oestersaus;460 kcal ;60 gram;19 gram;15 gram;15 min;['lactosevrij', 'snel', 'aziatisch', 'noedels', 'hoofdgerecht', 'wat eten we vandaag', 'roerbakken/wokken'];['Bereid de noedels volgens de aanwijzingen op de verpakking.\n', 'Snijd ondertussen de portobello’s in repen van 1½ cm. Verhit de helft van de olie in een wok en roerbak de portobello 5 min. op middelhoog vuur. Voeg de woksaus toe en verwarm 2 min. Voeg de spitskool en peen julienne toe en schep om.', 'Verhit ondertussen de rest van de olie in een grote koekenpan en bak de eieren.', ' Snijd de salade-ui in ringetjes. Verdeel de noedels samen met de groente over 2 diepe borden en verdeel de gebakken eieren erover. Bestrooi met de salade-ui.'];https://static.ah.nl/static/recepten/img_113748_1224x900_JPG.jpg
'Burrito'-schotel met knapperige tortillapuntjes;765 kcal ;62 gram;37 gram;37 gram;15 min;['oven', 'zuid amerikaans', 'hoofdgerecht', 'wat eten we vandaag'];"['Verwarm de oven voor op 200 °C. Snijd elke tortilla in 8 puntjes. Besprenkel met wat water en verdeel over het ovenrooster. Bak in ca. 7 min. krokant in het midden van de oven.', ""Verwijder ondertussen de steelaanzet van de paprika's, verwijder de zaadlijsten en snijd in ringen. Verhit de helft van de olie in een hapjespan en bak het gehakt op middelhoog vuur in 3 min. rul en gaar. Voeg de paprika toe en bak 2 min. mee. Voeg de burritoschotel toe en verwarm 3 min. mee."", 'Snijd ondertussen de tomaten in blokjes en de peterselie fijn. Meng de peterselie met de tomaten en de rest van de olie. Serveer de burritoschotel met de tortillapuntjes, tomatensalsa, botersla en crème fraîche.']";https://static.ah.nl/static/recepten/img_113745_1224x900_JPG.jpg
Huzarensalade met zoete aardappel;320 kcal ;31 gram;14 gram;14 gram;15 min;['lactosevrij', 'glutenvrij', 'hollands', 'salade', 'lunch', 'bijgerecht', 'koken'];[' Kook de zoete-aardappelblokjes met eventueel zout in 7 min. beetgaar.\n Kook de tuinerwten de laatste 3 min. mee. Giet af en laat in 20 min. afkoelen tot kamertemperatuur. Schep regelmatig om.', 'Kook de eieren in 8 min. hard. Laat schrikken onder koud stromend water, pel ze en snijd in parten.', ' Snijd ondertussen de bieslook fijn. Laat de augurkenblokjes uitlekken en vang 1 el vocht (per 4 pers.) op. Meng het vocht met de mayonaise, mosterd, peper en eventueel zout tot een dressing. Meng de augurkenblokjes, bieslook en dressing door de aardappelen en tuinerwten.', ' Haal de blaadjes van de sla los en verdeel over een schaal. Verdeel de huzarensalade, eiparten en gegrilde beenham erover.'];https://static.ah.nl/static/recepten/img_113746_1224x900_JPG.jpg
Biologische courgetteomelet met ricotta & veldsla;440 kcal ;14 gram;22 gram;32 gram;20 min;['glutenvrij', 'vegetarisch', 'lunch', 'pasen', 'bakken'];['Schaaf de courgette met een dunschiller in de lengte in linten. Boen de citroen schoon en rasp de gele schil eraf. Splits de eieren. Klop de eidooiers los met de ricotta, citroenrasp en het kruidenzout. Klop de eiwitten in een ruime kom met een garde stijf. Spatel het eiwit voorzichtig door het ricottamengsel.', 'Verhit de boter in een hapjespan en leg de courgettelinten erin. Schenk het eimengsel erover en bak op laag vuur met de deksel op de pan in ca. 10 min. net gaar.', 'Halveer ondertussen de tomaatjes, verhit de rest van de boter in een koekenpan en bak de tomaatjes op de snijkant 5 min. Keer de omelet op een groot bord en serveer met de tomaatjes en veldsla.'];https://static.ah.nl/static/recepten/img_113744_1224x900_JPG.jpg
Kaasvlinders;65 kcal ;5 gram;2 gram;4 gram;5 min;['zonder vlees/vis', 'oven', 'borrelhapje', 'verjaardag', 'picknick', 'borrel', 'oud & nieuw'];['Verwarm de oven voor op 200 °C. Neem het bladerdeeg uit de verpakking. Rol het deeg uit en leg het met de deegkant op het werkblad. Trek het bakpapier eraf en rol het deeg nog wat verder uit.', 'Meng de kazen door elkaar. Verdeel het kaasmengsel over het bladerdeeg en druk goed aan. Rol beide lange kanten van het bladerdeeg richting het midden op. Pak de deegrol in met vershoudfolie en laat 30 min. rusten in de koelkast.', 'Neem uit de koelkast en snijd in 20 plakjes. Leg de plakjes op een met bakpapier beklede bakplaat.  Bak de kaasvlinders in 12-15 min. goudbruin in het midden van de oven.'];https://static.ah.nl/static/recepten/img_113714_1224x900_JPG.jpg
Halloween pokébowl;645 kcal ;71 gram;25 gram;27 gram;20 min;['lactosevrij', 'zonder vlees', 'aziatisch', 'rijst', 'hoofdgerecht', 'halloween', 'herfst', 'koken'];['Kook de sushirijst volgens de aanwijzingen op de verpakking. Roer de rijstazijn erdoor en laat 2 uur afkoelen.', 'Snijd de avocado overlangs doormidden. Verwijder de pit en schep het vruchtvlees met een lepel uit de schil. Snijd in dunne plakjes. \n', 'Vorm met natte handen van de rijst 8 ovaaltjes, dit worden de spooklichamen. Knip uit het norivel 16 kleine ovaaltjes (de oogjes) en 8 grote ovalen (de mond). Plak de oogjes en mondjes op de spookjes. Zet 2 spookjes in elk half diep bord tegen de rand.', 'Verdeel in componenten de peen julienne, zalm, sojabonen, surimi en rodekool in een ronde naast de spookjes. Leg in het midden van het bord de avocadoplakjes.'];https://static.ah.nl/static/recepten/img_114702_1224x900_JPG.jpg
Kabeljauwburger met prei, ovenaardappeltjes en witlofsalade;695 kcal ;68 gram;19 gram;36 gram;35 min;['zonder vlees', 'oven', 'hoofdgerecht', 'wat eten we vandaag'];['Verwarm de oven voor op 200 °C. Boen de aardappelen schoon, snijd met schil in dunne parten en schep om met 2/5 van de olie, peper en eventueel zout. Verdeel over een met bakpapier beklede bakplaat. Kneus de knoflook en verdeel tussen de aardappelen. Bak in ca. 30 min. in het midden van de oven goudbruin en gaar. Schep halverwege om.', 'Snijd de prei in ringen. Doe samen met  ⅓ van de rest van de olie en het water in een steelpannetje. Laat met de deksel op de pan in ca. 15 min. op laag vuur gaar stoven. Roer af en toe om. Breng op smaak met peper en eventueel zout.', 'Snijd de onderkant van de witlofstronken. Snijd het witlof doormidden. Verwijder de harde kern en snijd de blaadjes in dunne repen. Schep in een kom om met de mayonaise. Verhit de rest van de olie in een koekenpan en bak de kabeljauwburgers volgens de aanwijzingen op de verpakking gaar.', 'Serveer de witlofsalade bij de gestoofde prei, ovenaardappelen en kabeljauwburgers.'];https://static.ah.nl/static/recepten/img_115904_1224x900_JPG.jpg
Pumpkin spice nicecream;240 kcal ;24 gram;3 gram;14 gram;10 min;['lactosevrij', 'veganistisch', 'nagerecht', 'halloween', 'kerst', 'sinterklaas', 'sinterklaasavond', 'valentijn', 'herfst', 'winter', 'in te vriezen', 'kerstdesserts'];['Snijd de rijpe banaan in plakjes. Doe in een (diepvries)zakje en leg minimaal 4 uur in de vriezer.', 'Schud de kokosmelk. Doe de bevroren pompoenblokjes, banaan, specerijen, ⅔ van de kokosmelk en eventueel zout in de keukenmachine en mix in ca. 8 min. tot glad ijs. Schep af en toe om met een spatel. Zorg ervoor dat alles helemaal is fijngemalen. Schep er bollen van. ', 'Doe ondertussen de speculoospasta en de rest van de kokosmelk in een steelpannetje en verwarm ca. 1 min. op laag vuur tot er een saus ontstaat.\n', 'Verdeel de ijsbolletjes over de glazen. Besprenkel met de saus en bestrooi met de noten.'];https://static.ah.nl/static/recepten/img_113717_1224x900_JPG.jpg
Rijkgevulde Libanese salade falafel met hummus;775 kcal ;86 gram;25 gram;32 gram;20 min;['vegetarisch', 'salade', 'hoofdgerecht', 'wat eten we vandaag', 'bakken'];['Kook de bulgur in een pan met water en eventueel zout in 10 min. gaar. Voeg de laatste minuut de bloemkoolrijst toe. Snipper ondertussen de ui. Snijd de tomaten in blokjes en de verse kruiden fijn. Verwijder de steel en zaadlijsten van de paprika’s en snijd het vruchtvlees in blokjes van 1 cm.', 'Verhit de olie in een koekenpan en bak de falafel 5 min. op middelhoog vuur. Giet de bulgur en bloemkoolrijst af en meng met de baharat, ui, tomaat, paprika, verse kruiden en de rest van de olie. Breng op smaak met peper en eventueel zout.', 'Verdeel over diepe borden en verdeel de falafel erover. Snijd de citroen in 2 parten per persoon en serveer samen met de hummus erbij.'];https://static.ah.nl/static/recepten/img_111904_1224x900_JPG.jpg
Gekruide rösti & wortel met een zachtgekookt eitje;855 kcal ;55 gram;24 gram;58 gram;10 min;['vegetarisch', 'oven', 'hoofdgerecht', 'wat eten we vandaag', 'winter', 'herfst'];['Verwarm de oven voor op 190° C. Snijd de uien in halve ringen en de knoflook fijn. Meng samen met het venkelzaad, de rösti en wortelmix en verdeel gelijkmatig over een met bakpapier beklede bakplaat. Besprenkel met de olie en bak ca. 30 min. in het midden van de oven.', 'Kook ondertussen de eieren in 6 min. halfzacht. Laat schrikken onder koud stromend water, pel en halveer ze.', 'Neem de bakplaat uit de oven en verdeel de veldsla en cottage cheese in schepjes over de rösti. Leg de eihelften erop, bestrooi met (versgemalen) peper en serveer.'];https://static.ah.nl/static/recepten/img_111910_1224x900_JPG.jpg
Gele curry met linzen, paprika & malse kip;805 kcal ;78 gram;32 gram;39 gram;25 min;['vooraf te maken', 'curry', 'hoofdgerecht', 'wat eten we vandaag', 'winter', 'stoven'];['Kook de rijst in 8 min. gaar. Giet af en laat staan tot gebruik.', 'Schil ondertussen de gember en snijd fijn. Snijd de uien in halve ringen. Halveer de paprika’s in de lengte, verwijder de zaadlijsten en snijd de paprika in dunne repen. Snijd de kipdijfilet in repen en de koriander grof.', 'Verhit de olie in de hapjespan of wok en fruit de currypasta 2 min. op laag vuur. Voeg de gember, ui en kip toe en bak al omscheppend 3 min. Voeg de paprika en kokosmelk toe, breng aan de kook en laat met de deksel op de pan op laag vuur 5 min. zachtjes stoven tot de kip gaar is.', 'Laat de linzen uitlekken, voeg toe en verwarm 1 min. mee. Breng op smaak met peper en eventueel zout. Garneer de curry met de koriander en serveer de rijst erbij.'];https://static.ah.nl/static/recepten/img_111911_1224x900_JPG.jpg
Vegetarische gnocchi met champignons en mozarella;835 kcal ;90 gram;29 gram;35 gram;20 min;['vegetarisch', 'vooraf te maken', 'italiaans', 'pasta', 'hoofdgerecht', 'wat eten we vandaag', 'koken'];['Verhit 3/5 van de olie in een grote koekenpan en bak de gnocchi met de salie in 15 min. goudbruin en krokant. Schep regelmatig om.', ' Veeg ondertussen de champignons schoon met keukenpapier en snijd in kwarten. Verhit de helft van de rest van de olie in de hapjespan en bak de champignons 3 min. op hoog vuur. Voeg de rulstukjes toe en bak 2 min. mee. Neem uit de pan.', ' Verhit de rest van de olie in dezelfde pan en bak de roerbakgroente 3 min. op middelhoog vuur. Voeg de tomaten toe, breng aan de kook en laat op laag vuur 5 min. stoven. Voeg de champignons met het rulgehakt toe en verwarm nog 3 min. Breng op smaak met peper en eventueel zout.', ' Snijd ondertussen de bieslook fijn en scheur de mozzarella in stukjes. Verdeel de gnocchi over diepe borden en schep de saus erop. Verdeel de mozzarella erover en bestrooi met de bieslook.'];https://static.ah.nl/static/recepten/img_125758_1224x900_JPG.jpg
Banaanbites;210 kcal ;32 gram;8 gram;2 gram;5 min;['glutenvrij', 'lactosevrij', 'veganistisch', 'oven', 'hollands', 'gebak', 'verjaardag', 'kinderrecepten'];['Verwarm de oven voor op 200 °C.\n', 'Snijd de banaan in plakjes van 1 cm. Verdeel de plakjes over een met bakpapier beklede bakplaat. Besprenkel met de olie en de helft van de kaneelsuiker. Bak in het midden van de voorverwarmde oven in 20 min. goudbruin. Neem na 10 min. de bakplaat uit de oven. Draai met een tang de banaanplakjes om. Bestrooi met de rest van de suiker en zet terug in de oven.'];https://static.ah.nl/static/recepten/img_113708_1224x900_JPG.jpg
